Timestamp,Differance,Node ID,Message
1720134302012, ,513,0000000000000000
1720134302012, ,486,800ce49b00000000
1720134302014, ,1190,08000000000056a0
1720134302019, ,1371,0c02000000000000
1720134302022, ,1190,08000000000056a0
1720134302025, ,1024,1301000201000202
1720134302030, ,720,6222580100000000
1720134302035, ,721,0000000000000000
1720134302039, ,725,5100c48fc2144800
1720134302045, ,726,000000000000a000
1720134302049, ,727,0000000000000000
1720134302049, ,1371,0c02000000000000
1720134302053, ,728,e81c170000000000
1720134302060, ,729,087777303a384938
1720134302065, ,730,000a022000000000
1720134302069, ,731,ffffffff00000000
1720134302075, ,732,1f00f80000000000
1720134302078, ,734,a100000020a10000
1720134302082, ,647,0000000000000000
1720134302084, ,736,0000000200000000
1720134302086, ,1190,08000000000056a0
1720134302086, ,72,0000000007000000
1720134302089, ,741,3404003000000000
1720134302095, ,742,0000000000000000
1720134302099, ,743,0064006400640064
1720134302103, ,744,0000000000000000
1720134302104, ,513,0000000000000000
1720134302109, ,745,0000000000000000
1720134302114, ,746,00010001fff52516
1720134302119, ,748,0064006400000000
1720134302125, ,750,0000000000000000
1720134302129, ,72,0000000007000000
1720134302134, ,755,1f00000000000000
1720134302141, ,513,0000000000000000
1720134302145, ,757,1008000000000000
1720134302150, ,1000,0000000000000000
1720134302154, ,1232,2080005400000000
1720134302159, ,1236,120227ff00000000
1720134302164, ,1243,0801000000000000
1720134302171, ,1244,6809000000000000
1720134302177, ,486,800ce20700000000
1720134302178, ,1292,5b120000c4390200
1720134302178, ,729,088877303a384938
1720134302184, ,1190,08000000000056a0
1720134302184, ,728,e81c170000000000
1720134302184, ,72,0000000007000000
1720134302192, ,1190,08000000000056a0
1720134302194, ,486,800ce89b00000000
1720134302201, ,1292,5b120000c4390200
1720134302202, ,513,0000000000000000
1720134302203, ,72,0000000007000000
1720134302211, ,513,0000000000000000
1720134302214, ,647,0000000000000000
1720134302219, ,1190,08000000000056a0
1720134302224, ,1371,0c02000000000000
1720134302228, ,72,0000000007000000
1720134302234, ,513,0000000000000000
1720134302234, ,1371,0c02000000000000
1720134302234, ,1029,0167a84f09a36008
1720134302241, ,1190,08000000000056a0
1720134302245, ,1024,1402020000000000
1720134302248, ,1024,0902020202000324
1720134302248, ,1292,5b120000c4390200
1720134302254, ,1029,1248343131323434
1720134302258, ,72,0000000007000000
1720134302264, ,513,0000000000000000
1720134302266, ,647,0000000000000000
1720134302269, ,647,0000000000000000
1720134302274, ,1190,08000000000056a0
1720134302278, ,1190,08000000000056a0
1720134302278, ,72,0000000007000000
1720134302279, ,1371,0c02000000000000
1720134302283, ,72,0000000007000000
1720134302285, ,513,0000000000000000
1720134302291, ,513,0000000000000000
1720134302295, ,1190,08000000000056a0
1720134302298, ,1292,5b120000c4390200
1720134302303, ,72,0000000007000000
1720134302308, ,513,0000000000000000
1720134302319, ,1190,08000000000056a0
1720134302319, ,1024,1500000002000000
1720134302324, ,1029,0167a84f09676008
1720134302328, ,647,0000000000000000
1720134302334, ,1371,0c02000000000000
1720134302338, ,1190,08000000000056a0
1720134302345, ,72,0000000007000000
1720134302348, ,513,0000000000000000
1720134302354, ,1292,5b120000c4390200
1720134302354, ,1292,5b120000c4390200
1720134302359, ,1190,08000000000056a0
1720134302363, ,72,0000000007000000
1720134302368, ,513,0000000000000000
1720134302374, ,1190,08000000000056a0
1720134302375, ,1371,0c02000000000000
1720134302376, ,72,0000000007000000
1720134302379, ,647,0000000000000000
1720134302382, ,513,0000000000000000
1720134302383, ,739,0200000000000000
1720134302391, ,1235,0000542000000000
1720134302394, ,1029,023830003b0266ed
1720134302398, ,1024,1600000000000007
1720134302404, ,1190,08000000000056a0
1720134302409, ,72,0000000007000000
1720134302414, ,513,0000000000000000
1720134302419, ,1292,5b120000c4390200
1720134302424, ,672,ffffffff00001e00
1720134302430, ,1190,08000000000056a0
1720134302438, ,72,0000000007000000
1720134302438, ,513,0000000000000000
1720134302444, ,1371,0c02000000000000
1720134302447, ,1371,0c02000000000000
1720134302447, ,1190,08000000000056a0
1720134302447, ,647,0000000000000000
1720134302447, ,739,0200000000000000
1720134302450, ,647,0000000000000000
1720134302454, ,1190,08000000000056a0
1720134302461, ,1292,5b120000c4390200
1720134302465, ,72,0000000007000000
1720134302465, ,1235,0000542000000000
1720134302471, ,1292,5b120000c4390200
1720134302471, ,72,0000000007000000
1720134302471, ,513,0000000000000000
1720134302473, ,1029,0000000000000000
1720134302480, ,1024,1701000401000100
1720134302484, ,513,0000000000000000
1720134302485, ,1029,023830003b0266ed
1720134302487, ,720,6222580100000000
1720134302491, ,721,0000000000000000
1720134302497, ,725,5100c48fc2144800
1720134302499, ,726,000000000000a000
1720134302504, ,727,0000000000000000
1720134302511, ,728,e81c170000000000
1720134302516, ,729,088877303a384938
1720134302523, ,730,000a022000000000
1720134302525, ,731,ffffffff00000000
1720134302531, ,732,1f00f80000000000
1720134302535, ,734,a100000020a10000
1720134302545, ,1024,0a00010100213534
1720134302545, ,736,0000000200000000
1720134302548, ,741,3404003000000000
1720134302548, ,742,0000000000000000
1720134302556, ,743,0064006400640064
1720134302561, ,744,0000000000000000
1720134302563, ,1190,08000000000056a0
1720134302564, ,745,0000000000000000
1720134302567, ,1371,0c02000000000000
1720134302567, ,72,0000000007000000
1720134302570, ,746,00010001fff52516
1720134302574, ,748,0064006400000000
1720134302580, ,750,0000000000000000
1720134302587, ,755,1f00000000000000
1720134302590, ,757,1008000000000000
1720134302594, ,1000,0000000000000000
1720134302594, ,513,0000000000000000
1720134302600, ,1232,2080005400000000
1720134302603, ,1236,120227ff00000000
1720134302611, ,1243,0801000000000000
1720134302614, ,1244,6809000000000000
1720134302619, ,486,800ce89b00000000
1720134302627, ,1190,08000000000056a0
1720134302627, ,672,ffffffff00001e00
1720134302629, ,1371,0c02000000000000
1720134302634, ,72,0000000007000000
1720134302642, ,513,0000000000000000
1720134302665, ,647,0000000000000000
1720134302665, ,1190,08000000000056a0
1720134302665, ,1292,5b120000c4390200
1720134302665, ,647,0000000000000000
1720134302665, ,1190,08000000000056a0
1720134302665, ,72,0000000007000000
1720134302670, ,1292,5b120000c4390200
1720134302674, ,72,0000000007000000
1720134302680, ,513,0000000000000000
1720134302717, ,513,0000000000000000
1720134302717, ,1190,08000000000056a0
1720134302721, ,1024,1802040000010102
1720134302734, ,1371,0c02000000000000
1720134302734, ,1029,0000000000000000
1720134302748, ,1190,08000000000056a0
1720134302748, ,72,0000000007000000
1720134302748, ,1029,0500000000000000
1720134302748, ,1024,0b00010405080200
1720134302748, ,1371,0c02000000000000
1720134302748, ,720,6222580100000000
1720134302751, ,721,0000000000000000
1720134302751, ,725,5100c48fc2144800
1720134302752, ,726,000000000000a000
1720134302752, ,513,0000000000000000
1720134302753, ,727,0000000000000000
1720134302753, ,728,e81c170000000000
1720134302753, ,729,088877303a384938
1720134302755, ,730,000a022000000000
1720134302755, ,731,ffffffff00000000
1720134302755, ,732,1f00f80000000000
1720134302756, ,734,a100000020a10000
1720134302758, ,1190,08000000000056a0
1720134302758, ,736,0000000200000000
1720134302760, ,741,3404003000000000
1720134302760, ,742,0000000000000000
1720134302760, ,743,0064006400640064
1720134302762, ,744,0000000000000000
1720134302762, ,745,0000000000000000
1720134302762, ,746,00010001fff52516
1720134302764, ,647,0000000000000000
1720134302767, ,748,0065006400000000
1720134302770, ,750,0000000000000000
1720134302770, ,1292,5b120000c4390200
1720134302770, ,755,1f00000000000000
1720134302771, ,757,1008000000000000
1720134302771, ,1000,0000000000000000
1720134302772, ,1232,2080005400000000
1720134302772, ,72,0000000007000000
1720134302776, ,1236,120227ff00000000
1720134302776, ,1243,0801000000000000
1720134302777, ,513,0000000000000000
1720134302777, ,1244,6809000000000000
1720134302778, ,72,0000000007000000
1720134302778, ,513,0000000000000000
1720134302782, ,1190,08000000000056a0
1720134302789, ,1371,0c02000000000000
1720134302793, ,72,0000000007000000
1720134302802, ,486,800ce89b00000000
1720134302808, ,513,0000000000000000
1720134302808, ,1190,08000000000056a0
1720134302818, ,1029,0167a84f09719ff7
1720134302818, ,1024,1902000004010102
1720134302826, ,1292,5b120000c4390200
1720134302833, ,1190,08000000000056a0
1720134302833, ,647,0000000000000000
1720134302834, ,72,0000000007000000
1720134302840, ,513,0000000000000000
1720134302847, ,1190,08000000000056a0
1720134302848, ,1292,5b120000c4390200
1720134302848, ,1371,0c02000000000000
1720134302858, ,647,0000000000000000
1720134302858, ,693,100a3e1201010001
1720134302860, ,72,0000000007000000
1720134302864, ,701,3000140000000000
1720134302879, ,72,0000000007000000
1720134302885, ,513,0000000000000000
1720134302893, ,1190,08000000000056a0
1720134302893, ,513,0000000000000000
1720134302895, ,693,2100000000000000
1720134302898, ,693,053f120101000000
1720134302904, ,693,0542120101000000
1720134302911, ,693,0543120101000000
1720134302914, ,693,0544120101000000
1720134302919, ,1292,5b120000c4390200
1720134302924, ,1190,08000000000056a0
1720134302924, ,693,0545120101000000
1720134302930, ,693,0546120101000000
1720134302933, ,647,0000000000000000
1720134302939, ,739,0200000000000000
1720134302946, ,1235,0000542000000000
1720134302948, ,72,0000000007000000
1720134302950, ,1371,0c02000000000000
1720134302952, ,72,0000000007000000
1720134302956, ,513,0000000000000000
1720134302966, ,1029,023830003b0266ed
1720134303045, ,1024,1a01010102000100
1720134303045, ,513,0000000000000000
1720134303045, ,1190,08000000000056a0
1720134303045, ,1024,0c00010000000201
1720134303045, ,1190,08000000000056a0
1720134303046, ,1371,0c02000000000000
1720134303050, ,1029,1146413243433745
1720134303053, ,1292,5b120000c4390200
1720134303053, ,72,0000000007000000
1720134303053, ,72,0000000007000000
1720134303054, ,513,0000000000000000
1720134303057, ,513,0000000000000000
1720134303065, ,1190,08000000000056a0
1720134303066, ,672,ffffffff00001e00
1720134303079, ,1292,5b120000c4390200
1720134303080, ,647,0000000000000000
1720134303082, ,647,0000000000000000
1720134303106, ,72,0000000007000000
1720134303110, ,1190,08000000000056a0
1720134303117, ,513,0000000000000000
1720134303117, ,1190,08000000000056a0
1720134303121, ,1371,0c02000000000000
1720134303128, ,1029,0000000000000000
1720134303133, ,1024,1b01000202020001
1720134303142, ,720,6222580100000000
1720134303142, ,721,0000000000000000
1720134303147, ,725,5100c48fc2144800
1720134303148, ,1371,0c02000000000000
1720134303148, ,72,0000000007000000
1720134303153, ,726,000000000000a000
1720134303159, ,727,0000000000000000
1720134303161, ,728,e81c170000000000
1720134303162, ,513,0000000000000000
1720134303165, ,729,088877303a384938
1720134303171, ,730,000a022000000000
1720134303176, ,731,ffffffff00000000
1720134303181, ,732,1f00f80000000000
1720134303184, ,734,a100000020a10000
1720134303187, ,1190,08000000000056a0
1720134303194, ,736,0000000200000000
1720134303195, ,741,3404003000000000
1720134303199, ,742,0000000000000000
1720134303209, ,743,0064006400640064
1720134303211, ,744,0000000000000000
1720134303218, ,745,0000000000000000
1720134303234, ,746,00010001fff52516
1720134303237, ,748,0064006400000000
1720134303237, ,1292,5b120000c4390200
1720134303238, ,1029,0167a84f09ad9ff7
1720134303238, ,1024,0d03010100020202
1720134303238, ,72,0000000007000000
1720134303242, ,750,0000000000000000
1720134303247, ,755,1f00000000000000
1720134303259, ,757,1008000000000000
1720134303259, ,513,0000000000000000
1720134303259, ,647,0000000000000000
1720134303273, ,1000,0000000000000000
1720134303280, ,1232,2080005400000000
1720134303292, ,1236,120227ff00000000
1720134303292, ,1190,08000000000056a0
1720134303296, ,1243,0801000000000000
1720134303303, ,1244,6809000000000000
1720134303307, ,1190,08000000000056a0
1720134303311, ,72,0000000007000000
1720134303317, ,513,0000000000000000
1720134303320, ,486,800ce89b00000000
1720134303328, ,1292,5b120000c4390200
1720134303332, ,647,0000000000000000
1720134303337, ,1371,0c02000000000000
1720134303337, ,72,0000000007000000
1720134303337, ,1190,08000000000056a0
1720134303343, ,72,0000000007000000
1720134303345, ,513,0000000000000000
1720134303348, ,513,0000000000000000
1720134303351, ,1371,0c02000000000000
1720134303360, ,1190,08000000000056a0
1720134303361, ,72,0000000007000000
1720134303365, ,1190,08000000000056a0
1720134303366, ,513,0000000000000000
1720134303372, ,1292,5b120000c4390200
1720134303376, ,1024,1c00000100020000
1720134303381, ,1029,0000000000000000
1720134303387, ,1190,08000000000056a0
1720134303391, ,647,0000000000000000
1720134303397, ,72,0000000007000000
1720134303401, ,513,0000000000000000
1720134303406, ,1371,0c02000000000000
1720134303411, ,1190,08000000000056a0
1720134303417, ,1292,5b120000c4390200
1720134303421, ,72,0000000007000000
1720134303427, ,513,0000000000000000
1720134303437, ,1292,5b120000c4390200
1720134303437, ,1190,08000000000056a0
1720134303438, ,72,0000000007000000
1720134303438, ,513,0000000000000000
1720134303438, ,1029,0167a84f097b6008
1720134303442, ,1024,1d00000000010200
1720134303447, ,1190,08000000000056a0
1720134303447, ,647,0000000000000000
1720134303447, ,739,0200000000000000
1720134303448, ,1371,0c02000000000000
1720134303451, ,72,0000000007000000
1720134303457, ,513,0000000000000000
1720134303466, ,647,0000000000000000
1720134303466, ,1235,0000542000000000
1720134303467, ,1190,08000000000056a0
1720134303477, ,1292,5b120000c4390200
1720134303482, ,72,0000000007000000
1720134303483, ,1371,0c02000000000000
1720134303483, ,1029,023830003b0266ed
1720134303487, ,513,0000000000000000
1720134303493, ,1190,08000000000056a0
1720134303495, ,1024,0e02040000010101
1720134303497, ,1371,0c02000000000000
1720134303504, ,72,0000000007000000
1720134303509, ,513,0000000000000000
1720134303520, ,647,0000000000000000
1720134303524, ,748,0066006400000000
1720134303526, ,739,0200000000000000
1720134303536, ,1190,08000000000056a0
1720134303536, ,72,0000000007000000
1720134303536, ,1235,0000542000000000
1720134303550, ,513,0000000000000000
1720134303550, ,1190,08000000000056a0
1720134303558, ,1024,1e00000001000013
1720134303563, ,1029,023830003b0266ed
1720134303566, ,1292,5b120000c4390200
1720134303570, ,72,0000000007000000
1720134303576, ,513,0000000000000000
1720134303581, ,1190,08000000000056a0
1720134303588, ,672,ffffffff00001e00
1720134303591, ,1292,5b120000c4390200
1720134303591, ,1371,0c02000000000000
1720134303597, ,72,0000000007000000
1720134303603, ,513,0000000000000000
1720134303608, ,647,0000000000000000
1720134303611, ,1190,08000000000056a0
1720134303617, ,1292,5b120000c4390200
1720134303620, ,672,ffffffff00001e00
1720134303620, ,72,0000000007000000
1720134303622, ,1190,08000000000056a0
1720134303623, ,72,0000000007000000
1720134303627, ,513,0000000000000000
1720134303630, ,1029,0000000000000000
1720134303640, ,1024,1f02030003000001
1720134303641, ,720,6222580100000000
1720134303643, ,513,0000000000000000
1720134303646, ,721,0000000000000000
1720134303646, ,1371,0c02000000000000
1720134303652, ,725,5100c48fc2144800
1720134303664, ,726,000000000000a000
1720134303670, ,727,0000000000000000
1720134303675, ,728,e81c170000000000
1720134303679, ,729,088877303a384938
1720134303686, ,730,000a022000000000
1720134303690, ,731,ffffffff00000000
1720134303701, ,732,1f00f80000000000
1720134303701, ,734,a100000020a10000
1720134303705, ,736,0000000200000000
1720134303708, ,647,0000000000000000
1720134303710, ,741,3404003000000000
1720134303717, ,742,0000000000000000
1720134303718, ,1190,08000000000056a0
1720134303722, ,743,0064006400640064
1720134303722, ,72,0000000007000000
1720134303726, ,744,0000000000000000
1720134303726, ,513,0000000000000000
1720134303729, ,745,0000000000000000
1720134303737, ,746,00010001fff52516
1720134303742, ,1292,5b120000c4390200
1720134303742, ,748,0064006400000000
1720134303742, ,1029,0000000000000000
1720134303745, ,750,0000000000000000
1720134303746, ,1024,0f01000101000000
1720134303747, ,720,6222580100000000
1720134303747, ,721,0000000000000000
1720134303748, ,725,5100c48fc2144800
1720134303748, ,726,000000000000a000
1720134303748, ,727,0000000000000000
1720134303749, ,728,e81c170000000000
1720134303750, ,729,088877303a384938
1720134303750, ,755,1f00000000000000
1720134303750, ,730,000a022000000000
1720134303750, ,731,ffffffff00000000
1720134303754, ,732,1f00f80000000000
1720134303754, ,734,a100000020a10000
1720134303754, ,736,0000000200000000
1720134303755, ,741,3404003000000000
1720134303755, ,757,1008000000000000
1720134303756, ,742,0000000000000000
